u_id,b_id,a_id,name,average_rating,ratings_count,text_reviews_count
1887276,12160824,126502,Michael Flynn,3.69,9487,1155
1887276,11325698,3899035,Christopher Bollen,3.46,1164,238
1887276,9376703,10898,Philip Carter,3.67,2375,413
1887276,12199924,500474,David L. Levy,3.00,8,4
1887276,8736126,4278425,Carolyn Hart,3.70,26224,2754
1887276,792375,415529,Janet Greene,4.09,747,42
1887276,7841437,168090,Laura Anne Gilman,3.75,28443,1946
1887276,426548,168090,Laura Anne Gilman,3.75,28443,1946
1887276,6314293,168090,Laura Anne Gilman,3.75,28443,1946
1887276,2342825,168090,Laura Anne Gilman,3.75,28443,1946
1887276,676904,168090,Laura Anne Gilman,3.75,28443,1946
1887276,676905,168090,Laura Anne Gilman,3.75,28443,1946
1887276,426550,168090,Laura Anne Gilman,3.75,28443,1946
1887276,5930640,168090,Laura Anne Gilman,3.75,28443,1946
1887276,10204213,364872,Juan Gomez-Jurado,3.82,6551,932
1887276,16099140,250598,Carsten Stroud,3.47,3212,576
1887276,7743175,6252,Robert Jordan,4.14,1507561,33315
1887276,23956402,89973,Harry Connolly,3.86,15112,1144
1887276,23368013,378872,Joseph S. Nye Jr.,3.76,2755,215
1887276,20971472,3502,Alice Hoffman,3.76,305905,31287
1887276,17622960,6444141,Shona Patel,3.88,1813,384
1887276,16006282,6252,Robert Jordan,4.14,1507561,33315
1887276,13594965,4847517,Steve McDonagh,3.42,57,5
1887276,12837725,2383,Gillian Flynn,3.96,1869676,167474
1887276,12656727,8649,Juliet Marillier,4.14,183926,13559
1887276,13082129,8649,Juliet Marillier,4.14,183926,13559
1887276,10964,3617,Diana Gabaldon,4.24,1338379,78765
1887276,9752754,16304,Julianna Baggott,3.79,38066,5344
1887276,31548,4176632,W. Somerset Maugham,4.02,125713,9742
1887276,402777,1624,Herman Melville,3.47,428136,13811
1887276,9553383,518030,Neil MacGregor,4.20,4983,666
1887276,6492676,40563,Patricia Briggs,4.24,845095,40351
1887276,7183665,40563,Patricia Briggs,4.24,845095,40351
1887276,5582295,40563,Patricia Briggs,4.24,845095,40351
1887276,7839024,8649,Juliet Marillier,4.14,183926,13559
