book_isbn,avg_rating,five_rating,four_rating,three_rating,two_rating,one_rating
0439206472,4.2,60,23,6,3,8
014034893X,4.3,62,20,9,2,7
0440498058,4.3,65,18,9,3,5
0385732554,4.3,57,26,10,3,4
0689840926,4.5,68,22,4,3,3
0440227194,4.4,61,29,6,2,2
044022750X,4.4,61,24,10,2,3
0330700790,0.0,0,0,0,0,0
0440439884,4.5,68,20,6,3,3
0307347974,4.4,63,20,10,7,0
0439064864,4.7,80,13,4,1,2
0439358078,4.5,71,16,7,4,2
0545010225,4.8,85,9,3,1,2
0439554934,4.8,86,9,3,1,1
0745165680,4.0,33,33,34,0,0
0525478817,4.7,79,14,4,2,1
1416903542,4.3,64,20,6,4,6
1780485913,5.0,100,0,0,0,0
0450040186,4.7,78,15,4,2,1
006075995X,4.0,54,20,9,6,11
0440241413,4.2,56,23,8,6,7
0307275558,3.0,20,22,19,18,21
0553816713,4.3,67,14,6,4,9
0316015849,4.1,65,11,7,5,12
0439554934,4.8,86,9,3,1,1
0316346624,4.2,53,27,10,5,5
0060838582,4.3,60,26,7,3,4
0316166685,3.9,47,24,12,9,8
0553296981,4.6,74,16,5,2,3
0385338600,4.5,69,21,6,2,2
0307277674,3.8,49,17,11,9,14
0767900383,3.5,37,22,14,13,14
0143038419,3.7,49,16,9,8,18
0451529308,4.4,69,16,7,3,5
0743477111,4.2,64,22,0,0,14
0440073650,4.3,25,75,0,0,0
0446675539,4.8,87,7,3,1,2
0143039954,4.4,70,15,6,3,6
0060531045,4.2,64,12,8,7,9
0743273567,4.2,58,22,10,5,5
0316769177,4.0,56,16,10,8,10
0739491725,3.4,37,16,14,17,16
0062026771,4.0,35,36,21,7,1
031232118X,4.1,54,22,10,6,8
0684833395,4.3,66,18,6,4,6
0316017922,4.4,61,24,8,3,4
0316010669,3.9,44,26,15,8,7
0316346624,4.2,53,27,10,5,5
0385338708,4.3,56,26,11,4,3
044024191X,3.8,35,30,19,11,5
0440241898,4.1,50,25,15,6,4
0440241812,4.4,62,24,7,3,4
0440241413,4.2,56,23,8,6,7
0142437204,4.4,68,17,7,3,5
0330493744,4.2,62,18,6,7,7
0553278223,4.3,62,19,10,6,3
0375814248,4.6,73,17,6,2,2
0060987103,3.6,41,20,12,11,16
0307277674,3.8,49,17,11,9,14
0743477111,4.2,64,22,0,0,14
0743273567,4.2,58,22,10,5,5
0868196819,4.5,50,50,0,0,0
0141439661,4.3,62,20,10,3,5
0553816713,4.3,67,14,6,4,9
0142437204,4.4,68,17,7,3,5
0965818675,4.0,56,17,10,8,9
0553296981,4.6,74,16,5,2,3
0451524934,4.5,71,17,7,2,3
0143038419,3.7,49,16,9,8,18
0142437247,4.1,59,16,11,6,8
0451529308,4.4,69,16,7,3,5
0316166685,3.9,47,24,12,9,8
0061120081,4.7,82,11,3,2,2
9772083949,0.0,0,0,0,0,0
0071771328,4.5,72,17,5,3,3
159562015X,4.0,56,16,9,6,13
1935273817,4.7,84,10,3,2,1
1591280516,4.5,64,18,18,0,0
0875521657,4.1,68,6,0,19,7
0781406900,4.8,86,9,3,1,1
0988262592,4.7,74,20,4,1,1
1935651218,4.1,56,19,6,13,6
1434704920,4.6,76,14,3,7,0
0307987035,4.4,76,9,0,5,10
014303653X,4.4,65,21,6,4,4
0374203032,4.2,53,26,11,6,4
1921441631,4.7,78,18,2,2,0
1433512319,4.8,84,13,3,0,0
0552995878,4.1,49,31,10,4,6
0141439661,4.3,62,20,10,3,5
0142437204,4.4,68,17,7,3,5
0965818675,4.0,56,17,10,8,9
0679783261,4.5,72,14,6,3,5
0439554934,4.8,86,9,3,1,1
0553384287,4.4,62,24,7,4,3
1594480001,4.6,73,17,5,3,2
0307277674,3.8,49,17,11,9,14
0312422156,4.3,61,20,9,5,5
0143038095,4.2,56,28,7,3,6
0142001740,4.4,63,21,8,4,4
0316166685,3.9,47,24,12,9,8
0739326228,4.4,68,18,7,4,3
0140449264,4.6,78,11,5,2,4
0141439602,4.3,62,20,9,4,5
0451529308,4.4,69,16,7,3,5
0142437174,4.3,63,20,7,3,7
0142000671,4.4,63,23,8,3,3
0743273567,4.2,58,22,10,5,5
0385343833,3.3,27,24,19,16,14
0072819790,2.0,0,0,0,100,0
